Song,URL,Start,End
Uptown Funk by Bruno Mars,https://www.youtube.com/watch?v=OPf0YbXqDm0,2:15,2:35
Video Killed the Radio Star by The Buggles,https://www.youtube.com/watch?v=W8r-tXRLazs,1:15,1:50
Driver's License by Olivia Rodrigo,https://www.youtube.com/watch?v=ZmDBbnmKpqQ,2:00,2:30
Beautful Things by Benson Boone,https://www.youtube.com/watch?v=Oa_RSwwpPaA,1:06,1:40
Livin' On A Prayer by Bon Jovi,https://www.youtube.com/watch?v=lDK9QqIzhwk&list=PLjB-wurbnZxUY8WEq6iu-A45Bt_EjXvDX&index=16,1:17,1:45
Ho Hey by The Lumineets,https://www.youtube.com/watch?v=zvCBSSwgtg4,0:46,1:29
Time of Your Life by Green Day,https://www.youtube.com/watch?v=CnQ8N1KacJc,0:48,1:21
What I Got by Sublime,https://www.youtube.com/watch?v=0Uc3ZrmhDN4,1:05,1:34
The Git Up by Blanco Brown,https://www.youtube.com/watch?v=DT4kQlM5xuE,1:30,2:05
Bye Bye Bye by NSYNC,https://www.youtube.com/watch?v=Eo-KmOd3i7s,1:18,1:54
Complicated by Avril Lavigne,https://www.youtube.com/watch?v=5NPBIwQyPWE,2:14,2:45
Be My Baby by the Ronettes,https://www.youtube.com/watch?v=jrVbawRPO7I&list=PLW4gZU2BEoN2-ngny0_NHUU_lOaM3X6tb&index=9,0:48,1:24
Bohemian Rhapsody by Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ&list=PLyqXsO_d0hU1EqKKNY2MdtiXitI3zEVqg,1:55,2:29
Yellow by Cold Play,https://www.youtube.com/watch?v=yKNxeF4KMsY&list=PLQcnIjTLC0rWTYplhvmw4pNKs_kg6LsGJ&index=46,1:40,2:14
Roses by the Chain Smokers,https://www.youtube.com/watch?v=mBZdHuZCfic,1:50,2:21
Blue by Eiffel 65,https://www.youtube.com/watch?v=68ugkg9RePc,0:32,1:03
Happiest Year by James Young,https://www.youtube.com/watch?v=i-qT5n_5Mys,3:14,3:45
Hotel California by Eagles,https://www.youtube.com/watch?v=09839DpTctU,1:54,2:28
Perfect by Ed Sheeran,https://www.youtube.com/watch?v=2Vv-BfVoq4g,1:19,1:52
Should've Been A Cowboy by Toby Keith,https://www.youtube.com/watch?v=aIq1LvzSLsk&list=PLEpLat34kTLs0vQl5F0HXm4bb9UT-15Ph&index=1,1:02,1:26
Photograph by Nickelback,https://www.youtube.com/watch?v=BB0DU4DoPP4&list=PLoHuTTNG-8lfAPDd5FU1RVYfi0Xks7fLv,1:51,1:15
Since U Been Gone by Kelly Clarkson,https://www.youtube.com/watch?v=R7UrFYvl5TE,0:51,1:22
Walking on Sunshine by Katrina & The Waves,https://www.youtube.com/watch?v=iPUmE-tne5U,1:23,1:52
Waiting on the World to Change by John Mayer,https://www.youtube.com/watch?v=oBIxScJ5rlY&list=PLrJAm4P7jiT1tidimiDqyHAdSAgxBbWJk&index=6,0:21,
Cha Cha Slide by Mr C The Slide Man,https://www.youtube.com/watch?v=wZv62ShoStY&list=PL8E38F50FEEA8D671&index=26,1:42,2:14
Fireflies by Owl City,https://www.youtube.com/watch?v=psuRGfAaju4,0:50,1:28
C,https://www.youtube.com/watch?v=VcjzHMhBtf0,1:32,2:02
